approved_id,KEGGID,ChEMBLID,compound_name,smiles
approved_0820,D01019,,metaraminol bitartrate,CC(N)C(O)c1cccc(O)c1
approved_0821,D01020,CHEMBL1201103,methoxamine hydrochloride,COc1ccc(OC)c(C(O)C(C)N)c1
approved_0822,D01022,CHEMBL762,oxymetazoline hydrochloride,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1
approved_0823,D01024,,tamsulosin hydrochloride,CCOc1ccccc1OCCNC(C)Cc1ccc(OC)c(S(N)(=O)=O)c1
approved_0824,D01025,,levobunolol hydrochloride,CC(C)(C)NCC(O)COc1cccc2c1CCCC2=O
approved_0825,D01026,CHEMBL471,sotalol hydrochloride,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
approved_0826,D01028,CHEMBL1717,ticlopidine hydrochloride,Clc1ccccc1CN1CCc2sccc2C1
approved_0827,D01029,,tirofiban hydrochloride,CCCCS(=O)(=O)NC(Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O
approved_0828,D01031,,xantofyl palmitate,CCCCCCCCCCCCCCCC(=O)OC1C=C(C)C(C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC2=C(C)CC(OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1
approved_0829,D01034,CHEMBL1475,trioxysalen,Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1
approved_0830,D01035,,cepharanthine,COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)C5C2)OCO4)CCN1C
approved_0831,D01036,,noscapine,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C
approved_0832,D01037,,4-dimethyl-7-isopropylazulene,Cc1ccc(C(C)C)cc2c(C)ccc1-2
approved_0833,D01039,CHEMBL29411,thymol,Cc1ccc(C(C)C)c(O)c1
approved_0834,D01043,CHEMBL504,dimethyl sulfoxide,C[S+](C)[O-]
approved_0835,D01044,,flupentixol,OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
approved_0836,D01046,CHEMBL459265,methylrosanilinium chloride,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1
approved_0837,D01050,,nifuratel,CSCC1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)O1
approved_0838,D01051,,spiperone,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1
approved_0839,D01053,,benzylpenicillin potassium,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O
approved_0840,D01055,,emivirine,CCOCn1c(Cc2ccccc2)c(C(C)C)c(=O)[nH]c1=O
approved_0841,D01056,CHEMBL388590,benzbromarone,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
approved_0842,D01057,,biapenem,CC(O)C1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)C(C)C12
approved_0843,D01059,,nimustine hydrochloride,Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1
approved_0844,D01060,,technetium,C=NCC(C)(C)OC
approved_0845,D01061,,irinotecan hydrochloride hydrate,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC
approved_0846,D01062,CHEMBL2003538,cetylpyridinium chloride hydrate,CCCCCCCCCCCCCCCC[n+]1ccccc1
approved_0847,D01064,,raltitrexed,Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)cc2c(=O)[nH]1
approved_0848,D01065,,ubidecarenone,COC1=C(OC)C(=O)C(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)=C(C)C1=O
approved_0849,D01067,,polysorbate 80,CCCCCCCCC=CCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO
approved_0850,D01068,,vinblastine sulfate,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1
approved_0851,D01069,,cilazapril hydrate,CCOC(=O)C(CCc1ccccc1)NC1CCCN2CCCC(C(=O)O)N2C1=O
approved_0852,D01072,,chloramphenicol palmitate,CCCCCCCCCCCCCCCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1
approved_0853,D01073,,clindamycin phosphate,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(OP(=O)(O)O)C(O)C2O)N(C)C1
approved_0854,D01074,,hetacillin,CC1(C)SC2C(N3C(=O)C(c4ccccc4)NC3(C)C)C(=O)N2C1C(=O)O
approved_0855,D01075,,cefaloridine,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12
approved_0856,D01076,,mupirocin,CC(=CC(=O)OCCCCCCCCC(=O)O)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O
approved_0857,D01077,,atropine methonitrate,C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
approved_0858,D01078,,telithromycin,CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)OC12C
approved_0859,D01079,,tigecycline,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)=C(O)C3(O)C(=O)C1=C2O
approved_0860,D01080,,daptomycin,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NCC(=O)NC(CCCN)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC(C(C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)OC1C
approved_0861,D01082,,calcium pantothenate,CC(C)(CO)C(O)C(=O)NCCC(=O)O
approved_0862,D01085,,saccharin,O=C1NS(=O)(=O)c2ccccc21
approved_0863,D01087,CHEMBL108545,methyl salicylate,COC(=O)c1ccccc1O
approved_0864,D01088,CHEMBL1201198,pemirolast potassium,Cc1cccn2c(=O)c(-c3nnn[nH]3)cnc12
approved_0865,D01092,,lanoconazole,N#CC(=C1SCC(c2ccccc2Cl)S1)n1ccnc1
approved_0866,D01093,CHEMBL990,butenafine hydrochloride,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12
approved_0867,D01095,,tribenoside,CCOC1OC(C(COCc2ccccc2)OCc2ccccc2)C(OCc2ccccc2)C1O
approved_0868,D01097,,lazabemide hydrochloride,NCCNC(=O)c1ccc(Cl)cn1
approved_0869,D01098,,maxacalcitol,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)OCCC(C)(C)O)CC(O)CC1O
approved_0870,D01100,,pirenoxine,O=C(O)c1cc(=O)c2c3nc4ccccc4oc-3cc(=O)c2[nH]1
approved_0871,D01101,CHEMBL28218,bromperidol,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1
approved_0872,D01103,,trospium chloride,O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1
approved_0873,D01104,,barnidipine hydrochloride,COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCN(Cc3ccccc3)C2)C1c1cccc([N+](=O)[O-])c1
approved_0874,D01105,,moperone hydrochloride,Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1
approved_0875,D01106,,eprazinone hydrochloride,CCOC(CN1CCN(CC(C)C(=O)c2ccccc2)CC1)c1ccccc1
approved_0876,D01107,CHEMBL259209,milnacipran hydrochloride,CCN(CC)C(=O)C1(c2ccccc2)CC1CN
approved_0877,D01111,,nateglinide,CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1
approved_0878,D01112,CHEMBL1265,adapalene,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
approved_0879,D01115,,eplerenone,COC(=O)C1CC2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13
approved_0880,D01117,CHEMBL94454,mizolastine,CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1
approved_0881,D01118,CHEMBL1200970,profenamine hydrochloride,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
approved_0882,D01119,,temocapril hydrochloride,CCOC(=O)C(CCc1ccccc1)NC1CSC(c2cccs2)CN(CC(=O)O)C1=O
approved_0883,D01120,,glutaral,O=CCCCC=O
approved_0884,D01121,,rebamipide,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1
approved_0885,D01122,,ibuprofen piconol,CC(C)Cc1ccc(C(C)C(=O)OCc2ccccn2)cc1
approved_0886,D01123,,seratrodast,CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O
approved_0887,D01124,,zinc undecylenate,C=CCCCCCCCCC(=O)O
approved_0888,D01125,,calcipotriol,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(O)C2CC2)CC(O)CC1O
approved_0889,D01126,,l-arginine hydrochloride,NC(N)=NCCCC(N)C(=O)O
approved_0890,D01128,,ramatroban,O=C(O)CCn1c2c(c3ccccc31)CC(NS(=O)(=O)c1ccc(F)cc1)CC2
approved_0891,D01130,CHEMBL3989478,thiethylperazine maleate,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2
approved_0892,D01131,,lafutidine,O=C(C[S+]([O-])Cc1ccco1)NCC=CCOc1cc(CN2CCCCC2)ccn1
approved_0893,D01132,CHEMBL1657,tazarotene,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1
approved_0894,D01133,,pimobendan,COc1ccc(-c2nc3ccc(C4=NNC(=O)CC4C)cc3[nH]2)cc1
approved_0895,D01136,,tranexamic acid,NCC1CCC(C(=O)O)CC1
approved_0896,D01137,,gadoteridol,CC(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1
approved_0897,D01138,CHEMBL1239,benzyl benzoate,O=C(OCc1ccccc1)c1ccccc1
approved_0898,D01140,,benzethonium chloride,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1
approved_0899,D01141,,sulfamonomethoxine,COc1cc(NS(=O)(=O)c2ccc(N)cc2)ncn1
approved_0900,D01142,CHEMBL2107253,sulfadimethoxine,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1
approved_0901,D01143,,isothipendyl hydrochloride,CC(CN1c2ccccc2Sc2cccnc21)N(C)C
approved_0902,D01144,,prulifloxacin,Cc1oc(=O)oc1CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)c2n3C(C)S2)CC1
approved_0903,D01145,,azelnidipine,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1
approved_0904,D01147,,nadifloxacin,CC1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
approved_0905,D01148,,tolterodine tartrate,Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1
approved_0906,D01150,CHEMBL1200790,methyprylon,CCC1(CC)C(=O)NCC(C)C1=O
approved_0907,D01152,,oxetacaine,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1
approved_0908,D01155,,gemcitabine hydrochloride,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1
approved_0909,D01157,,cefepime dihydrochloride hydrate,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CSC12)c1csc(N)n1
approved_0910,D01158,,furazabol,CC12Cc3nonc3CC1CCC1C2CCC2(C)C1CCC2(C)O
approved_0911,D01159,,gestonorone caproate,CCCCCC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
approved_0912,D01161,,fulvestrant,CC12CCC3c4ccc(O)cc4CC(CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)C3C1CCC2O
approved_0913,D01162,CHEMBL2218885,verteporfin,C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)c(CCC(=O)OC)c4C)C1(C)C3=CC=C(C(=O)OC)C1C(=O)OC
approved_0914,D01163,,ergometrine maleate,CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
approved_0915,D01164,CHEMBL1112,aripiprazole,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
approved_0916,D01165,CHEMBL1511957,piperidolate hydrochloride,CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1
approved_0917,D01166,CHEMBL419,mafenide acetate,NCc1ccc(S(N)(=O)=O)cc1
approved_0918,D01172,CHEMBL1564,diphenylpyraline hydrochloride,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1
approved_0919,D01173,,cilnidipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
approved_0920,D01174,CHEMBL1193,none,CN(C)CCC(c1ccccc1)c1ccccn1
approved_0921,D01175,,carpronium chloride,COC(=O)CCC[N+](C)(C)C
approved_0922,D01177,CHEMBL1201120,remifentanil hydrochloride,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1
approved_0923,D01178,,phenethicillin potassium,CC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
approved_0924,D01179,,duloxetine hydrochloride,CNCCC(Oc1cccc2ccccc12)c1cccs1
approved_0925,D01180,,trilostane,CC12CCC3C(CCC45OC4C(O)=C(C#N)CC35C)C1CCC2O
approved_0926,D01182,,alprenolol hydrochloride,C=CCc1ccccc1OCC(O)CNC(C)C
approved_0927,D01183,CHEMBL121626,tolfenamic acid,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O
approved_0928,D01184,,octotiamine,COC(=O)CCCCC(CCSSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N)SC(C)=O
approved_0929,D01186,CHEMBL556,deferoxamine mesilate,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
approved_0930,D01187,,betazole hydrochloride,NCCc1ccn[nH]1
approved_0931,D01192,,olopatadine hydrochloride,CN(C)CCC=C1c2ccccc2COc2ccc(CC(=O)O)cc21
approved_0932,D01194,,ferrous fumarate,O=C(O)C=CC(=O)O
approved_0933,D01195,CHEMBL1378024,protionamide,CCCc1cc(C(N)=S)ccn1
approved_0934,D01197,,bencyclane fumarate,CN(C)CCCOC1(Cc2ccccc2)CCCCCC1
approved_0935,D01199,,emtricitabine,Nc1nc(=O)n(C2CSC(CO)O2)cc1F
approved_0936,D01200,,phenolsulfonphthalein,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
approved_0937,D01201,,tiemonium iodide,C[N+]1(CCC(O)(c2ccccc2)c2cccs2)CCOCC1
approved_0938,D01202,,melinamide,CCCCCC=CCC=CCCCCCCCC(=O)NC(C)c1ccccc1
approved_0939,D01204,,olmesartan medoxomil,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
approved_0940,D01206,CHEMBL1164729,febuxostat,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O
approved_0941,D01207,CHEMBL1503,omeprazole sodium,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1
approved_0942,D01208,,aluminum clofibrate,CC(C)(Oc1ccc(Cl)cc1)C(=O)O
approved_0943,D01209,,novobiocin sodium,COC1C(OC(N)=O)C(O)C(Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C
approved_0944,D01210,,glybuzole,CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1
approved_0945,D01211,,calcium folinate,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2
approved_0946,D01212,,simfibrate,CC(C)(Oc1ccc(Cl)cc1)C(=O)OCCCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
approved_0947,D01213,CHEMBL344159,tolvaptan,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1
approved_0948,D01215,,alcuronium chloride,C=CC[N+]12CCC34c5ccccc5N5C=C6C7CC8C9(CC[N+]8(CC=C)CC7=CCO)c7ccccc7N(C=C(C(CC31)C(=CCO)C2)C54)C69
approved_0949,D01216,CHEMBL1525826,sulfamethopyrazine,COc1nccnc1NS(=O)(=O)c1ccc(N)cc1
approved_0950,D01217,,dydrogesterone,CC(=O)C1CCC2C3C=CC4=CC(=O)CCC4(C)C3CCC12C
approved_0951,D01219,CHEMBL2107011,oxypertine,COc1cc2[nH]c(C)c(CCN3CCN(c4ccccc4)CC3)c2cc1OC
approved_0952,D01220,,trapidil,CCN(CC)c1cc(C)nc2ncnn12
approved_0953,D01221,,gamma oryzanol,COc1cc(C=CC(=O)OC2CCC34CC35CCC3(C)C(C(C)CCC=C(C)C)CCC3(C)C5CCC4C2(C)C)ccc1O
approved_0954,D01223,,capecitabine,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F
approved_0955,D01225,,cocarboxylase,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1
approved_0956,D01226,CHEMBL26,sulpiride,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
approved_0957,D01227,CHEMBL957,bosentan hydrate,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
approved_0958,D01228,CHEMBL1098285,distigmine bromide,CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1
approved_0959,D01229,,paramethasone acetate,CC(=O)OCC(=O)C1(O)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC21C
approved_0960,D01230,CHEMBL13280,flunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
approved_0961,D01231,,piroheptine hydrochloride,CCN1CCC(=C2c3ccccc3CCc3ccccc32)C1C
approved_0962,D01233,,oxyfedrine hydrochloride,COc1cccc(C(=O)CCNC(C)C(O)c2ccccc2)c1
approved_0963,D01234,,pantethine,CC(C)(CO)C(O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)C(O)C(C)(C)CO
approved_0964,D01235,,josamycin,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O
approved_0965,D01236,CHEMBL1755,conivaptan hydrochloride,Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2
approved_0966,D01238,,bucladesine sodium,CCCC(=O)Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1OC(=O)CCC
approved_0967,D01240,,deslanoside,CC1OC(OC2CCC3(C)C(CCC4C3CC(O)C3(C)C(C5=CC(=O)OC5)CCC43O)C2)CC(O)C1OC1CC(O)C(OC2CC(O)C(OC3OC(CO)C(O)C(O)C3O)C(C)O2)C(C)O1
approved_0968,D01243,CHEMBL1200586,propitocaine hydrochloride,CCCNC(C)C(=O)Nc1ccccc1C
approved_0969,D01244,CHEMBL20883,tegafur,O=c1[nH]c(=O)n(C2CCCO2)cc1F
approved_0970,D01245,CHEMBL277062,bromazepam,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1
approved_0971,D01246,,benzylhydrochlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC(Cc1ccccc1)NS2(=O)=O
approved_0972,D01248,,acrinol hydrate,CCOc1ccc2nc3cc(N)ccc3c(N)c2c1
approved_0973,D01249,,flucloxacillin sodium,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
approved_0974,D01250,,berberine chloride hydrate,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2
approved_0975,D01252,CHEMBL94081,alclofenac,C=CCOc1ccc(CC(=O)O)cc1Cl
approved_0976,D01253,CHEMBL70418,clobazam,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
approved_0977,D01254,,tofisopam,CCC1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21
approved_0978,D01255,,benfotiamine,CC(=C(CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N
approved_0979,D01256,CHEMBL61593,cyclothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O
approved_0980,D01257,,siccanin,Cc1cc(O)c2c(c1)OC1(C)CCC3C(C)(C)CCCC34COC2C14
approved_0981,D01259,,flopropione,CCC(=O)c1c(O)cc(O)cc1O
approved_0982,D01260,CHEMBL73234,pentoxyverine citrate,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1
approved_0983,D01261,,fluorescein,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
approved_0984,D01262,,cefacetrile sodium,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CC#N)C2SC1
approved_0985,D01263,CHEMBL1367605,ritodrine hydrochloride,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1
approved_0986,D01264,,daunorubicin hydrochloride,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1
approved_0987,D01266,,difluprednate,CCCC(=O)OC1(C(=O)COC(C)=O)CCC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
approved_0988,D01267,,floctafenine,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12
approved_0989,D01268,,cloxazolam,O=C1CN2CCOC2(c2ccccc2Cl)c2cc(Cl)ccc2N1
approved_0990,D01269,,solifenacin succinate,O=C(OC1CN2CCC1CC2)N1CCc2ccccc2C1c1ccccc1
approved_0991,D01270,,carboquone,COC(COC(N)=O)C1=C(N2CC2)C(=O)C(C)=C(N2CC2)C1=O
approved_0992,D01271,CHEMBL94394,bufexamac,CCCCOc1ccc(CC(=O)NO)cc1
approved_0993,D01272,,clobetasol propionate,CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
approved_0994,D01273,,clobetasone butyrate,CCCC(=O)OC1(C(=O)CCl)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(=O)CC21C
approved_0995,D01275,,doxorubicin hydrochloride,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1
approved_0996,D01276,,atazanavir sulfate,COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C
approved_0997,D01277,,droxidopa,NC(C(=O)O)C(O)c1ccc(O)c(O)c1
approved_0998,D01278,,oxazolam,CC1CN2CC(=O)Nc3ccc(Cl)cc3C2(c2ccccc2)O1
approved_0999,D01279,,flutoprazepam,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC1CC1
approved_1000,D01281,CHEMBL141305,cyclofenil,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1
approved_1001,D01283,,carindacillin sodium,CC1(C)SC2C(NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2C1C(=O)O
approved_1002,D01284,,bisbentiamine,CC(=C(CCOC(=O)c1ccccc1)SSC(CCOC(=O)c1ccccc1)=C(C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N
approved_1003,D01285,CHEMBL2106638,lofepramine hydrochloride,CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1
approved_1004,D01286,,flutazolam,O=C1CN2CCOC2(c2ccccc2F)c2cc(Cl)ccc2N1CCO
approved_1005,D01287,CHEMBL1200396,levobupivacaine hydrochloride,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
approved_1006,D01288,,dimefline hydrochloride,COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN(C)C
approved_1007,D01290,,nicergoline,COC12CC(COC(=O)c3cncc(Br)c3)CN(C)C1Cc1cn(C)c3cccc2c13
approved_1008,D01291,,nicomol,O=C(OCC1(COC(=O)c2cccnc2)CCCC(COC(=O)c2cccnc2)(COC(=O)c2cccnc2)C1O)c1cccnc1
approved_1009,D01292,CHEMBL28333,medazepam,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21
approved_1010,D01293,,ethyl loflazepate,CCOC(=O)C1N=C(c2ccccc2F)c2cc(Cl)ccc2NC1=O
approved_1011,D01296,CHEMBL1722,methylphenidate hydrochloride,COC(=O)C(c1ccccc1)C1CCCCN1
approved_1012,D01298,,potassium gluconate,O=C(O)C(O)C(O)C(O)C(O)CO
approved_1013,D01299,,chlormadinone acetate,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)CCC4(C)C3CCC21C
approved_1014,D01300,,clinofibrate,CCC(C)(Oc1ccc(C2(c3ccc(OC(C)(CC)C(=O)O)cc3)CCCCC2)cc1)C(=O)O
approved_1015,D01301,,metenolone enanthate,CCCCCCC(=O)OC1CCC2C3CCC4CC(=O)C=C(C)C4(C)C3CCC12C
approved_1016,D01302,CHEMBL276832,hydralazine hydrochloride,NNc1nncc2ccccc12
approved_1017,D01304,,amezinium metilsulfate,COc1cc(N)cn[n+]1-c1ccccc1
approved_1018,D01306,,troxipide,COc1cc(C(=O)NC2CCCNC2)cc(OC)c1OC
approved_1019,D01307,CHEMBL1201212,midodrine hydrochloride,COc1ccc(OC)c(C(O)CNC(=O)CN)c1
approved_1020,D01308,,halcinonide,CC1(C)OC2CC3C4CCC5=CC(=O)CCC5(C)C4(F)C(O)CC3(C)C2(C(=O)CCl)O1
approved_1021,D01309,,doxifluridine,CC1OC(n2cc(F)c(=O)[nH]c2=O)C(O)C1O
approved_1022,D01311,,metrizamide,CC(=O)Nc1c(I)c(C(=O)NC2C(O)OC(CO)C(O)C2O)c(I)c(N(C)C(C)=O)c1I
